"","NMDS1","NMDS2","seqCompartment","SoilType"
"o1_xgl_root_1",-1.19883276311691,-0.669774527771362,"Root","Organic"
"o1_xgl_root_2",-1.07534788846302,-1.06745917489611,"Root","Organic"
"o1_xgl_root_3",-1.0246958258391,-0.428365396487496,"Root","Organic"
"o1_xgl_soil_2",-0.422055385605431,0.639526664240502,"Rhizo","Organic"
"o1_xgl_soil_3",-0.33217937261524,0.579414865270788,"Rhizo","Organic"
"o2_xgl_root_1",-1.38229076148658,-0.336401021786231,"Root","Organic"
"o2_xgl_root_2",-1.37568649888879,-0.0297595635889163,"Root","Organic"
"o2_xgl_root_3",-1.60022832766824,0.478148637482013,"Root","Organic"
"o2_xgl_soil_1",-0.895580153210764,0.982471015640345,"Rhizo","Organic"
"o2_xgl_soil_2",-0.955506770048149,2.09104143215333,"Rhizo","Organic"
"o2_xgl_soil_3",-1.34696933167922,0.827993187685213,"Rhizo","Organic"
"s1_xgl_root_1",-0.385540773645509,-0.810698948814254,"Root","Loam"
"s1_xgl_root_2",-0.295874830690766,-0.866901069475903,"Root","Loam"
"s1_xgl_root_3",-0.230413555987272,-0.793888844844919,"Root","Loam"
"s1_xgl_soil_1",0.86709389642889,0.099674492708076,"Rhizo","Loam"
"s1_xgl_soil_2",0.613080493682133,0.170536250480754,"Rhizo","Loam"
"s2_xgl_root_1",-0.40655694977323,-0.546790424935773,"Root","Loam"
"s2_xgl_root_2",-0.461645338442847,-0.589273500379361,"Root","Loam"
"s2_xgl_root_3",-0.322073507130263,-0.461467789324368,"Root","Loam"
"s2_xgl_soil_1",0.132947570275679,0.286280769009653,"Rhizo","Loam"
"s2_xgl_soil_2",0.160758903170103,-0.200569918465811,"Rhizo","Loam"
"s2_xgl_soil_3",0.659978349495061,0.397385971823192,"Rhizo","Loam"
"XF1_1",2.25644158134512,-0.387164180718861,"Input","Input"
"XF1_2",2.39514322463484,-0.308625009718281,"Input","Input"
"XF2_1",2.2212850777475,0.26646923836068,"Input","Input"
"XF2_2",2.24183050765988,0.316798392329811,"Input","Input"
"XF2_3",2.16291842985213,0.361398454023286,"Input","Input"
