"","Cultivar","Live"
"cluster_1",0.66446080526602,-0.546501032667211
"cluster_2",-0.949746284891816,-0.268405885892781
"cluster_3",-0.923053468643654,0.340633709891976
"cluster_4",0.633836363518457,0.581074225975249
"cluster_5",-0.465445064665262,-0.76781586857068
"cluster_6",-0.688073232993979,0.579912786032103
"cluster_7",-0.74423761275811,-0.522078183530648
"cluster_8",-0.21879600364617,0.951794464218653
"cluster_9",0.217697668166888,0.158151977025632
"cluster_10",0.0647877673138088,-0.984402545290769
