"","sampleid","rawreads","bactreads","bactratio","Geno","Compartment","Group","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson"
"C1","C1",55363,51997,93.92,"cerk1","root","croot",360,363,2.75142281694403,362.610803925199,9.07387550404197,3.9512135675223,0.939068612082422
"C2","C2",74684,72630,97.25,"cerk1","root","croot",298,304,4.69968023862981,301.183850867086,8.46189385639826,3.49992663036545,0.918515840675073
"C3","C3",76417,71628,93.73,"cerk1","root","croot",318,325,5.05701043843293,322.039823303215,8.84411104187675,3.50331008318248,0.918632729004043
"C4","C4",82093,78490,95.61,"cerk1","root","croot",318,328.058823529412,6.17716040917324,324.318782330441,8.8587022516017,3.38918980522765,0.907414895994982
"C5","C5",119289,116234,97.44,"cerk1","root","croot",347,349.676470588235,2.25564028827178,351.678427226335,9.28538080466939,3.25711176601213,0.874504730500888
"C6","C6",38991,38114,97.75,"cerk1","root","croot",177,177.5,1.02709764748284,177.792652677311,5.67663308898635,2.88209969836412,0.792555370031296
"K1","K1",82101,79396,96.71,"Kitaake","root","kroot",409,420.052631578947,6.44882606831422,416.59333625723,9.79045151020457,3.87447128909821,0.930864583198546
"K2","K2",122771,120841,98.43,"Kitaake","root","kroot",390,393.75,2.87341706010665,394.217175435818,9.82004976933896,3.77888052407707,0.939293781093653
"K3","K3",92646,89049,96.12,"Kitaake","root","kroot",419,428.37037037037,5.33598610084831,427.044267630902,10.1730866606197,3.87421551612117,0.937417277221394
"K4","K4",92104,89696,97.39,"Kitaake","root","kroot",291,293.142857142857,2.0969488083676,293.9865550425,8.45448678636566,2.9554063928102,0.822263390820246
"K5","K5",83287,81141,97.42,"Kitaake","root","kroot",331,341,6.65783261225935,336.176125553565,8.97178229421367,3.65492269528624,0.927474702205375
"K6","K6",82008,79851,97.37,"Kitaake","root","kroot",267,272.571428571429,4.24158591004648,271.149361811051,8.05212823085547,3.22854116909676,0.861060671960473
"R1","R1",77046,75656,98.2,"fls2","root","rroot",258,260.5,2.36912630995571,261.355757601508,7.90612348659838,2.9364655804212,0.850384207229467
"R2","R2",69964,68329,97.66,"fls2","root","rroot",307,310,2.86388982318713,309.238623651292,8.45735848674012,3.43684776571488,0.893193157654449
"R3","R3",74596,72878,97.7,"fls2","root","rroot",236,239.461538461538,3.10657633042946,239.075613956123,7.60332931732414,2.95339683150374,0.878364566167702
"R4","R4",120999,119635,98.87,"fls2","root","rroot",263,266,2.51736886988178,267.547254552664,8.08487400005531,3.12227387454915,0.891796317529988
"R5","R5",109018,107945,99.02,"fls2","root","rroot",221,224,2.86380535972556,223.865628997501,7.38266502157319,3.08171627874573,0.905886778718248
"R6","R6",88774,87260,98.29,"fls2","root","rroot",248,249.75,1.92008821169597,250.441484449439,7.6481557482063,3.3489379163648,0.900415162962023
"SC1","SC1",73188,69561,95.04,"cerk1","soil","csoil",567,576.730769230769,5.51868332754553,573.944860844889,11.6614855434062,4.37177029897921,0.924083157652728
"SC2","SC2",96821,92909,95.96,"cerk1","soil","csoil",588,599.607142857143,6.14898840778732,596.417115588191,11.930389637719,4.65088917854215,0.963949206368123
"SC3","SC3",60440,57387,94.95,"cerk1","soil","csoil",565,583.75,9.89752466445889,573.284404362312,11.1739514093083,4.90641635956764,0.970022958631499
"SC4","SC4",80439,76940,95.65,"cerk1","soil","csoil",624,629.7,3.73788310487287,629.464614589603,11.997230698243,4.98195913041198,0.971882784749095
"SC5","SC5",108131,103269,95.5,"cerk1","soil","csoil",612,619.738095238095,4.32592307808339,620.465180659038,12.2914676487161,4.75497290315692,0.965503260768049
"SC6","SC6",95599,91016,95.21,"cerk1","soil","csoil",681,693.4,5.99934771475999,691.495090532138,12.8112131633572,5.09081701088546,0.980125349540284
"SK1","SK1",56324,52048,92.41,"Kitaake","soil","Ksoil",645,646.272727272727,1.50753857075,646.626027319303,12.2290896219316,5.17631409745834,0.978955271720025
"SK2","SK2",90138,86641,96.12,"Kitaake","soil","Ksoil",580,583.162790697674,2.42754976470654,585.485850474992,11.8490993001569,4.61523567989389,0.960672672272132
"SK3","SK3",84415,80184,94.99,"Kitaake","soil","Ksoil",503,514.052631578947,6.44886949911565,509.644213694143,10.7165649706436,4.31022482447828,0.935178393179391
"SK4","SK4",40415,37614,93.07,"Kitaake","soil","Ksoil",386,391.5,4.51075485070029,389.172736176876,8.54602085073765,4.03843771170004,0.924634438777798
"SK5","SK5",84273,80590,95.63,"Kitaake","soil","Ksoil",625,632.241379310345,4.41365897405264,631.446013416949,12.3222547664702,4.76063145863959,0.965289889502796
"SK6","SK6",85715,80716,94.17,"Kitaake","soil","Ksoil",545,550.230769230769,3.61782467235083,549.970083375651,11.4223837481953,4.86953441664613,0.97822193184043
"SR1","SR1",75397,72440,96.08,"fls2","soil","rsoil",564,567.137931034483,2.5493987287105,567.757325828221,11.6810922180905,4.71422655931262,0.969499701544782
"SR2","SR2",30693,28801,93.84,"fls2","soil","rsoil",NA,NA,NA,NA,NA,NA,NA
"SR3","SR3",77423,73656,95.13,"fls2","soil","rsoil",646,656.714285714286,5.81440408694716,653.166660126866,12.4268623459633,5.03475630284605,0.978399022753141
"SR4","SR4",62607,60217,96.18,"fls2","soil","rsoil",506,508.894736842105,2.58294134617516,508.582766017899,10.7026317946404,4.54948521812913,0.9613312556184
"SR5","SR5",85128,80954,95.1,"fls2","soil","rsoil",496,504.636363636364,5.25204290592536,502.631901213806,10.7411162539849,4.43091143101398,0.953305756353899
"SR6","SR6",81351,77977,95.85,"fls2","soil","rsoil",589,594.757575757576,3.70334425990248,595.145599008754,11.7624071552315,4.92316599951504,0.976618599541432
"XF1","XF1",59412,38203,64.3,"input","input","input",946,952.111111111111,4.97695160949392,947.942120260921,13.8347811027631,6.13578907935245,0.995160294425223
"XF2","XF2",110034,69558,63.22,"input","input","input",1030,1041.6,5.87902782443185,1037.18744293342,15.4608625843682,6.03693411940724,0.993970030795103
"XF3","XF3",58934,37834,64.2,"input","input","input",916,918.333333333333,2.42361817836469,917.309574483241,13.0409181584638,6.17836828140112,0.995520046627728
"XF4","XF4",48143,30812,64,"input","input","input",NA,NA,NA,NA,NA,NA,NA
"XF5","XF5",50464,33742,66.86,"input","input","input",824,830.6,5.13697270876952,826.513487338255,12.2985902346274,5.98100144157741,0.99447829827991
"XF6","XF6",18681,12717,68.07,"input","input","input",NA,NA,NA,NA,NA,NA,NA
